SIMF-4 speaker photos — deploy manifest
Copy the 'speakerphoto' folder into <FileStorage:RootPath> (App_Data/files).

code          file (= StorageKey basename)               bytes
SIMF4-SPK-01  0f837c7c4f1655f1b930dcd924eecb89.png      113659
SIMF4-SPK-02  7296dd95227f52de89293bb551c4fd77.png       91046
SIMF4-SPK-03  6d81f2753f4954f982e89f22413f7552.png      106190
SIMF4-SPK-04  a6bcb906acb25d969af03a3cae22301b.png      189264
SIMF4-SPK-05  ad30f57df3e556e69c332a3c73a81b78.png       46518
SIMF4-SPK-06  b069ba68a6d8568aa3aec66d8614fc09.png       51050
SIMF4-SPK-07  60469802bd9c5cca985b7018ae20b885.jpeg      47223
SIMF4-SPK-08  96197390a43c59b5aa83bc7e7fe845f0.png      145844
SIMF4-SPK-10  004472722b045b4ea633b6b5ba286555.png      160568
SIMF4-SPK-12  2e15d328c30d554cabd1f87c486b38a2.jpeg      80853
SIMF4-SPK-13  6ab0d8a54e3f507f8d5ccb0778759386.png      245296
SIMF4-SPK-14  442d3535cbb3590cb1edb4584eef4dc4.png       71112
SIMF4-SPK-15  74970c0328f55698b20f7dcc2fc6ce88.png      133869
SIMF4-SPK-17  670cb782288653dc829646c4549ff62f.png      237795
SIMF4-SPK-18  28d8e65b094f521a80c1bb7ddd5b644a.png       66219
SIMF4-SPK-20  462648c9cf995527aedfac01dff99f73.png      116325
SIMF4-SPK-23  08b23213a71351708eeb2e4af46150ca.jpg       46884
SIMF4-SPK-27  95ff57c797e25ee3a66af09bfb050ed9.jpg       78423
SIMF4-SPK-28  8eaed19817635e968a33c37b3064db04.png      103818
SIMF4-SPK-29  5e007954d7bb54c29dfafb840d7d965f.png       91380
SIMF4-SPK-30  e0cd3802f9ca53e69d8e8806632ff043.png      261059
SIMF4-SPK-31  60e6b9ad90de5b1a8d559de6ae48bb4b.png      206632
SIMF4-SPK-32  88cd8505f25f5e94bd83d316c72ef0ed.png      483216
